status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
INTRODUCED,Illinois,HB 3819,PROHIBIT SEX-REASSIGN-UNDER 18,Tom Weber (R),RULES,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-il-104th-hb3819
INTRODUCED,Illinois,HB 3686,CONT SUB-PUB BLOCKER-SCH V,Tom Weber (R),RULES,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-il-104th-hb3686
INTRODUCED,Illinois,HB 3666,IDPH-PUBERTY BLOCKER REPORT,Tom Weber (R),RULES,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 18, 2025","FEBRUARY 18, 2025",state-il-104th-hb3666
INTRODUCED,Missouri,SB 390,Creates a provision relating to a definition of reproductive health care,Nick Schroer (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-mo-2025-sb390
INTRODUCED,West Virginia,SB 507,Prohibiting drag shows from being performed in front of minors,"Darren Thorne (R),Chris Rose (R),Patricia Rucker (R),+4 sponsors",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-wv-2025-sb507
INTRODUCED,West Virginia,HR 6,Recognizing Transgenderism as a Mental Disorder and Affirming the Biological Reality of Two Genders,"Elías Coop-González (R),Chuck Sheedy (R),Eric Brooks (R),+3 sponsors","RULES, HEALTH AND HUMAN RESOURCES","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-wv-2025-hr6
INTRODUCED,West Virginia,HB 2466,To eliminate the use of puberty blockers for any minor under the age of 18,"Chris Anders (R),Lisa White (R),Bill Ridenour (R),+5 sponsors",HEALTH AND HUMAN RESOURCES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-wv-2025-hb2466
INTRODUCED,West Virginia,HB 2403,Remove hormone blockers from transgender code,"Kathie Hess Crouse (R),Sarah Drennan (R),Chuck Horst (R),+7 sponsors",HEALTH AND HUMAN RESOURCES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-wv-2025-hb2403
INTRODUCED,North Dakota,HB 1593,"A BILL for an Act to create and enact a new section to chapter 51-07 of the North Dakota Century Code, relating to a covered platform's liability for publishing or distributing sexual material harmful to a minor; and to provide a penalty.","Jared Hendrix (R),Karen Anderson (R),Keith Boehm (R),+9 sponsors",JUDICIARY,"69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: FEBRUARY 17, 2025","FEBRUARY 17, 2025",state-nd-69-hb1593
SIGNED BY GOVERNOR,Utah,H.B. 269,Privacy Protections in Sex-designated Areas,"Stephanie Gricius (R),Brady Brammer (R)",(NO COMMITTEE),"2025 GENERAL SESSION
LATEST ACTION: FEBRUARY 14, 2025","FEBRUARY 14, 2025",state-ut-2025-hb269
INTRODUCED,Kentucky,HB 5,AN ACT relating to correctional facilities.,,"COMMITTEE ON COMMITTEES, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 14, 2025","FEBRUARY 14, 2025",state-ky-2025rs-hb5
INTRODUCED,West Virginia,HB 2072,Allowing healthcare workers to refuse to perform procedures related to sex reassignment or gender identity transitioning for religious or conscientious objection,"Jonathan Pinson (R),Joe Parsons (R)","JUDICIARY, HEALTH AND HUMAN RESOURCES, HEALTH CARE REGULATIONS","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 14, 2025","FEBRUARY 14, 2025",state-wv-2025-hb2072
INTRODUCED,Missouri,SB 76,Modifies provision relating to prohibited discriminatory practices,"Adam Schnelting (R),Mary Elizabeth Coleman (R)","FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mo-2025-sb76
INTRODUCED,Missouri,SB 75,Removes the expiration date on certain provisions relating to gender transition,Brad Hudson (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mo-2025-sb75
INTRODUCED,Missouri,SB 298,Modifies provisions relating to gender designations on state-issued identity documents,Mike Moon (R),GENERAL LAWS,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mo-2025-sb298
INTRODUCED,Missouri,SB 26,Modifies provisions relating to gender transition,Mike Moon (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mo-2025-sb26
INTRODUCED,Missouri,SB 249,Removes the expiration date on certain provisions relating to gender transition,Rick Brattin (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mo-2025-sb249
INTRODUCED,Alabama,HB 276,"Consumer protection, requires social media platforms terminate certain accounts, display notifications, prohibit certain actions, use age verification, provide certain tools, remove certain content, penalties provided for violations",Ben Robbins (R),(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-al-2025rs-hb276
INTRODUCED,South Dakota,HB 1201,establish requirements for school employees regarding gender ideology.,"Logan Manhart (R),Julie Auch (R),Heather Baxter (R),+6 sponsors",(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-sd-2025-hb1201
INTRODUCED,Rhode Island,SB 304,AN ACT RELATING TO EDUCATION -- FAIRNESS IN WOMEN'S SPORTS ACT,Elaine Morgan (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-ri-2025-sb304
INTRODUCED,Minnesota,HF 565,Student physical privacy provided.,"Duane Quam (R),Ben Davis (R)",EDUCATION POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-mn-2025_2026-hf565
INTRODUCED,Illinois,HB 1204,INTERSCHOLASTIC SPORTS-GENDER,"David Friess (R),Amy Grant (R)",RULES,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 13, 2025","FEBRUARY 13, 2025",state-il-104th-hb1204
INTRODUCED,Pennsylvania,HB 581,An Act providing for classroom instruction on sexual orientation and gender identity and for parental notification of student health care services; and establishing cause of action for violation.,"Stephanie Borowicz (R),Joe Hamm (R),Keith Greiner (R),+17 sponsors",EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-pa-2025_2026-hb581
INTRODUCED,Kentucky,HB 397,AN ACT relating to human growth and development instruction.,,"COMMITTEE ON COMMITTEES, PRIMARY AND SECONDARY EDUCATION","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-ky-2025rs-hb397
INTRODUCED,West Virginia,SB 279,"Prohibiting gender transition surgeries, treatments, and therapies to minors",Mike Azinger (R),"HEALTH AND HUMAN RESOURCES, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-wv-2025-sb279
INTRODUCED,West Virginia,SB 276,Making adult cabaret performance criminal offense in certain circumstances,Mike Azinger (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-wv-2025-sb276
INTRODUCED,West Virginia,SB 207,Prohibiting certain funding and involvement or attendance of minors to drag shows,Eric Tarr (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-wv-2025-sb207
INTRODUCED,West Virginia,HB 2153,Relating to foster or adoption parents sincerely held religious or moral beliefs regarding sexual orientation or gender idenity,Jonathan Pinson (R),HEALTH AND HUMAN RESOURCES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-wv-2025-hb2153
INTRODUCED,West Virginia,HB 2071,Prohibiting public schools from requiring students to participate in sexual orientation instruction,"Jonathan Pinson (R),Bryan Smith (R),Joe Parsons (R)",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-wv-2025-hb2071
INTRODUCED,Iowa,HSB 84,"A bill for an act prohibiting school districts, charter schools, and innovation zone schools from providing any program, curriculum, test, survey, questionnaire, promotion, or instruction relating to gender identity or sexual orientation to students in grades seven through twelve.",COMMITTEE ON EDUCATION,EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 12, 2025","FEBRUARY 12, 2025",state-ia-2025_2026-hsb84
INTRODUCED,Montana,LC 1273,Revise education laws related to human sexuality and identity instruction,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mt-2025-lc1273
INTRODUCED,Colorado,HB 25-1145,Trafficking Minor for Abortion or Transgender Care,Scott Bottoms (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-co-2025a-hb251145
INTRODUCED,Missouri,SB 56,Prohibits diversity-equity-inclusion requirements in school districts and charter schools,Coleman,EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mo-2025-sb56
INTRODUCED,Missouri,HB 36,Modifies guidelines for student participation in athletic contests organized by sex,"Hardy Billington (R),Bill Lucas (R),Bill Irwin (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mo-2025-hb36
INTRODUCED,Missouri,HB 1081,Modifies provisions relating to gender transition procedures,Ben Baker (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mo-2025-hb1081
INTRODUCED,Missouri,HB 1038,Modifies provisions relating to gender transition procedures,Jamie Ray Gragg (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mo-2025-hb1038
INTRODUCED,Missouri,HB 1016,Modifies provisions relating to gender transition procedures,Brian Seitz (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-mo-2025-hb1016
INTRODUCED,Idaho,H 179,EDUCATION – Amends existing law to revise provisions regarding instruction in sex education and to provide for restrictions on instruction in human sexuality.,EDUCATION COMMITTEE,EDUCATION,"68TH LEGISLATURE, 1ST REGULAR SESSION (2025)
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-id-2025-h179
INTRODUCED,Arizona,SB 1687,gender transition; public funds; prohibition,Vince Leach (R),"RULES, HEALTH AND HUMAN SERVICES","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: FEBRUARY 11, 2025","FEBRUARY 11, 2025",state-az-57th_1stregular-sb1687
INTRODUCED,South Dakota,HB 1172,require that a high school health curriculum include human sexuality and human development within the womb.,Tony Randolph (R),(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 10, 2025","FEBRUARY 10, 2025",state-sd-2025-hb1172
INTRODUCED,Minnesota,HF 280,"Lake County; woodworking program funding provided, and money appropriated.","Natalie Zeleznikar (R),Roger Skraba (R)",LEGACY FINANCE,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 10, 2025","FEBRUARY 10, 2025",state-mn-2025_2026-hf280
INTRODUCED,Minnesota,HF 143,Religious belief exemption provided for entities providing certain services.,Duane Quam (R),STATE GOVERNMENT FINANCE AND POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 10, 2025","FEBRUARY 10, 2025",state-mn-2025_2026-hf143
INTRODUCED,Maryland,HB 1385,Children - Parental Rights - Educational Rights,"April Miller (R),Terry Baker (R),Jim Hinebaugh (R),+10 sponsors",WAYS AND MEANS,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 10, 2025","FEBRUARY 10, 2025",state-md-2025-hb1385
INTRODUCED,Tennessee,HB 1,"Education - As introduced, enacts the ""Education Freedom Act of 2025."" - Amends TCA Title 4, Chapter 49 and Title 49.",William Lamberth (R),"HEALTH, CIVIL JUSTICE, CALENDAR & RULES, K-12 SUBCOMMITTEE, EDUCATION, STATE & LOCAL GOVERNMENT","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: FEBRUARY 7, 2025","FEBRUARY 7, 2025",state-tn-114-hb1
INTRODUCED,Illinois,SB 2474,YOUTH HEALTH PROTECTION ACT,Andrew Chesney (R),ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 7, 2025","FEBRUARY 7, 2025",state-il-104th-sb2474
INTRODUCED,Missouri,SJR 9,Establishes provisions relating to reproductive health care,Mike Moon (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-mo-2025-sjr9
INTRODUCED,Missouri,SJR 5,Establishes provisions relating to reproductive health care,Rick Brattin (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-mo-2025-sjr5
INTRODUCED,Missouri,SJR 27,Establishes provisions relating to reproductive health care,Jill Carter (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-mo-2025-sjr27
INTRODUCED,Missouri,SJR 25,Establishes provisions relating to reproductive health care,Coleman,"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-mo-2025-sjr25
INTRODUCED,Missouri,SJR 23,"Establishes the ""Reproductive Health Care Protection Act""",Nick Schroer (R),"FAMILIES, SENIORS AND HEALTH","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-mo-2025-sjr23
INTRODUCED,South Carolina,H 3381,Defense of Children's Innocence Act,"Thomas Beach (R),Brian Lawson (R),John McCravy (R),+11 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-sc-2025_2026-h3381
INTRODUCED,South Carolina,H 3184,DEI in state universities,"Josiah Magnuson (R),John McCravy (R),Bill Chumley (R),+17 sponsors",EDUCATION AND PUBLIC WORKS,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-sc-2025_2026-h3184
INTRODUCED,Maryland,HB 1212,Criminal Law - Obscene Material - Device Filters,Susan McComas (R),ECONOMIC MATTERS,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-md-2025-hb1212
INTRODUCED,Illinois,SB 2078,HUMAN RIGHTS-GENDER IDEOLOGY,Andrew Chesney (R),ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-il-104th-sb2078
INTRODUCED,Illinois,HB 2915,INTERSCHOLASTIC SPORTS-GENDER,Joe Sosnowski (R),RULES,"104TH REGULAR SESSION
LATEST ACTION: FEBRUARY 6, 2025","FEBRUARY 6, 2025",state-il-104th-hb2915
INTRODUCED,Colorado,HB 25-1068,Malpractice Insurers Gender-Affirming Care Minors,"Scott Bottoms (R),Mark Baisley (R)",HEALTH & HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 5, 2025","FEBRUARY 5, 2025",state-co-2025a-hb251068
INTRODUCED,Virginia,HB 2605,Medical Conscience Protection Act; established.,"Lee Ware (R),Mark Earley (R)",HEALTH AND HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 5, 2025","FEBRUARY 5, 2025",state-va-2025-hb2605
INTRODUCED,Iowa,SF 156,"A bill for an act relating to policies for certain private spaces in facilities of public entities, providing penalties, and including effective date provisions.",Cherielynn Westrich (R),STATE GOVERNMENT,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 5, 2025","FEBRUARY 5, 2025",state-ia-2025_2026-sf156
INTRODUCED,Iowa,SF 116,"A bill for an act relating to obscenity, including the exposure of a minor to an obscene performance and admittance of a minor to a premises with obscene performances, establishing a private civil cause of action, and providing penalties.","Sandy Salmon (R),Doug Campbell (R),Cherielynn Westrich (R),+7 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 5, 2025","FEBRUARY 5, 2025",state-ia-2025_2026-sf116
INTRODUCED,Arizona,SB 1479,textbooks; adverse representation; prohibition,"Lela Alston (D),Mitzi Epstein (D),Lauren Kuby (D)","RULES, EDUCATION, EDUCATION-ARCHIVED AND RENAMED EDUCATION AND TRANSPORTATION AS OF 04/01/2025","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: FEBRUARY 5, 2025","FEBRUARY 5, 2025",state-az-57th_1stregular-sb1479
INTRODUCED,Mississippi,SB 2516,Safe Dormitories Act; enact.,Mike Seymour (R),"JUDICIARY, DIVISION A, UNIVERSITIES AND COLLEGES","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-sb2516
INTRODUCED,Mississippi,SB 2156,Released time courses; authorize for public school students to attend off campus religious or moral instruction for credit.,Angela Hill (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-sb2156
INTRODUCED,Mississippi,HB 488,School prayer; require school boards to designate a period of reflection for students at the beginning of each school day.,Oscar Denton (D),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-hb488
INTRODUCED,Mississippi,HB 1516,"""Parents' Bill of Rights Act""; enact and bring forward provisions related to.",Jansen Owen (R),JUDICIARY A,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-hb1516
INTRODUCED,Mississippi,HB 1159,Parental consent for medical treatment and instruction in human sexuality; require for students in K-12.,Lee Yancey (R),PUBLIC HEALTH AND HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-hb1159
INTRODUCED,Mississippi,HB 1098,"Parental rights; establish fundamental right of parents to direct the upbringing, education and care of their children.",Carolyn Crawford (R),JUDICIARY A,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-hb1098
INTRODUCED,Mississippi,HB 1060,Gender dysphoria; require school personnel to notify parents of student who request to be referred to as different gender or nonhuman.,"Blackwell,Tracy Arnold (R),Randy Boyd (R),+8 sponsors",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ms-2025-hb1060
INTRODUCED,Missouri,SB 55,Prohibits elementary and secondary schools and institutions of postsecondary education from being members of athletic organizations that allow students to use performance enhancing drugs,Coleman,EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-mo-2025-sb55
INTRODUCED,Pennsylvania,SB 213,"An Act recognizing two sexes, male and female; and providing for duties and prohibitions.","Doug Mastriano (R),Cris Dush (R),Scott Hutchinson (R),+1 sponsor",STATE GOVERNMENT,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-pa-2025_2026-sb213
INTRODUCED,Kentucky,HB 64,AN ACT relating to executive orders and declaring an emergency.,,"COMMITTEE ON COMMITTEES, STATE GOVERNMENT","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ky-2025rs-hb64
INTRODUCED,Kentucky,HB 177,AN ACT relating to restoring religious liberty.,,"COMMITTEE ON COMMITTEES, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ky-2025rs-hb177
INTRODUCED,Kentucky,HB 154,AN ACT relating to gender transition services.,,"COMMITTEE ON COMMITTEES, HEALTH SERVICES","2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ky-2025rs-hb154
INTRODUCED,Alabama,HB 4,"Crimes and offenses, further provides for obscenity crimes",Arnold Mooney (R),(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-al-2025rs-hb4
INTRODUCED,Alabama,HB 107,"Sex-based terms, defined; vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",Susan DuBose (R),(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-al-2025rs-hb107
INTRODUCED,Virginia,HB 2405,Gender reassignment surgery; prohibition on individuals younger than 18 years of age.,"Tim Griffin (R),Mark Earley (R),Chad Green (R),+2 sponsors",RULES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-va-2025-hb2405
INTRODUCED,Virginia,HB 2146,"Actions for medical malpractice; minors, gender transition procedures.",Eric Zehr (R),COURTS OF JUSTICE,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-va-2025-hb2146
INTRODUCED,South Carolina,H 3094,Child Welfare,"John McCravy (R),David Vaughan (R),Travis Moore (R),+15 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-sc-2025_2026-h3094
INTRODUCED,Oklahoma,SB 803,Parental rights; creating the Parental Rights Protection Act; providing certain penalties and immunities; establishing the Parental Rights Review Board. Effective date. Emergency.,Shane Jett (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ok-2025-sb803
INTRODUCED,Oklahoma,SB 665,"Freedom of conscience; creating the Medical Ethics Defense Act; granting certain rights and protections to certain medical practitioners, healthcare institutions, or healthcare payers. Effective date.",Shane Jett (R),HEALTH AND HUMAN SERVICES,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ok-2025-sb665
INTRODUCED,Oklahoma,SB 413,Schools; creating the Oklahoma Sexual Education Reform and Parental Rights Protection Act; requiring written consent for a student to participate in certain instruction. Effective date. Emergency.,Shane Jett (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: FEBRUARY 4, 2025","FEBRUARY 4, 2025",state-ok-2025-sb413
